+	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	
2	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	
3	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	
4	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	
5	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	
6	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	
7	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	
8	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	
9	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	
10	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	
11	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	
12	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	
13	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	
14	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	
15	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
16	16	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	17	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
18	18	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	
19	19	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	
20	20	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
21	21	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
22	22	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
23	23	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	
24	24	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
25	25	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
26	26	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
27	27	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	
28	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
